index,First.Class,Business.Class,Economy.Class
1990 W44,1.435,2.222,22.569
1990 W45,1.371,1.909,20.849
1990 W46,1.341,2.089,20.658
1990 W47,1.399,2.026,21.192
1990 W48,1.44,2.009,21.502
1990 W49,1.236,2.034,22.152
1990 W50,1.441,2.085,21.904
1990 W51,0.988,1.33,20.634
1990 W52,0.3,0.318,15.535
1991 W01,0.401,0.522,16.69
1991 W02,0.529,0.824,19.15
1991 W03,0.786,1.113,21.128
1991 W04,1.086,1.285,21.136
1991 W05,0.725,1.107,19.693
1991 W06,1.127,1.591,21.576
1991 W07,1.146,1.726,21.449
1991 W08,1.086,1.758,22.298
1991 W09,1.134,1.883,21.056
1991 W10,1.02,2.089,19.014
1991 W11,1.022,2.198,19.511
1991 W12,1.224,2.449,20.162
1991 W13,0.895,1.739,21.158
1991 W14,0.658,1.48,19.059
1991 W15,0.977,2.152,21.972
1991 W16,0.916,2.258,22.877
1991 W17,0.83,1.776,22.19
1991 W18,0.99,2.355,22.533
1991 W19,0.77,2.14,20.682
1991 W20,0.801,1.988,21.788
1991 W21,0.839,2.083,21.299
1991 W22,0.835,2.115,20.663
1991 W23,0.802,1.884,21.948
1991 W24,0.763,1.797,21.009
1991 W25,0.77,1.944,20.443
1991 W26,0.838,2.001,21.418
1991 W27,0.742,1.668,23.273
1991 W28,0.793,1.527,25.763
1991 W29,0.9,1.477,26.045
1991 W30,0.96,1.949,23.831
1991 W31,0.8,1.914,22.742
1991 W32,0.807,1.632,22.962
1991 W33,0.841,1.796,25.253
1991 W34,0.88,1.696,25.239
1991 W35,0.818,1.718,27.387
1991 W36,0.817,1.442,26.824
1991 W37,0.819,1.713,27.294
1991 W38,0.998,1.796,28.935
1991 W39,1.22,1.86,31.642
1991 W40,0.966,1.554,32.468
1991 W41,0.895,1.623,27.673
1991 W42,0.978,1.641,28.89
1991 W43,0.913,1.818,26.465
1991 W44,0.947,1.969,28.296
1991 W45,1.002,1.886,29.274
1991 W46,1.081,2.03,30.686
1991 W47,0.977,1.883,29.786
1991 W48,1.027,1.871,31.155
1991 W49,0.895,1.91,28.459
1991 W50,0.9,1.921,27.195
1991 W51,0.762,1.672,26.274
1991 W52,0.329,0.386,25.204
1992 W01,0.351,0.446,24.434
1992 W02,0.419,0.819,27.323
1992 W03,0.618,1.238,27.303
1992 W04,0.845,1.761,30.334
1992 W05,0.727,1.65,26.833
1992 W06,1.2,2.031,25.811
1992 W07,1.801,2.064,27.238
1992 W08,1.727,2.418,28.788
1992 W09,1.992,2.171,27.263
1992 W10,1.865,2.362,27.217
1992 W11,1.801,2.328,26.41
1992 W12,1.661,2.336,26.118
1992 W13,2.366,10.301,18.642
1992 W14,2.003,9.964,16.518
1992 W15,2.092,10.433,17.276
1992 W16,1.703,8.281,21.662
1992 W17,1.337,6.128,20.473
1992 W18,1.985,9.709,18.336
1992 W19,1.808,8.828,17.018
1992 W20,1.839,8.078,18.111
1992 W21,1.714,7.527,18.41
1992 W22,1.73,7.486,20.541
1992 W23,1.725,6.711,21.408
1992 W24,1.456,5.93,21.545
1992 W25,1.447,5.462,21.732
1992 W26,1.357,3.71,26.173
1992 W27,1.28,2.894,27.432
1992 W28,1.363,3.008,28.362
1992 W29,1.228,2.829,29.827
1992 W30,1.411,3.252,29.87
1992 W31,1.13,3.021,26.534
1992 W32,1.153,2.667,26.434
1992 W33,1.257,2.74,26.137
1992 W34,1.259,2.807,27.365
1992 W35,1.153,2.961,27.91
1992 W36,1.202,2.57,26.311
1992 W37,1.185,2.671,27.538
1992 W38,1.247,2.809,29.445
1992 W39,1.434,2.712,28.326
1992 W40,1.45,2.606,30.203
1992 W41,1.227,2.5,27.838
1992 W42,1.245,2.898,27.76
1992 W43,1.417,3.152,27.322
1992 W44,1.458,3.053,28.837
1992 W45,1.398,2.745,26.548
1992 W46,1.423,3.156,27.279
1992 W47,1.358,3.069,27.306
1992 W48,1.488,3.379,28.299
