index,Japan,NZ,UK,US
2006 Q1,189.187,212.323,224.933,123.608
2006 Q2,128.92,269.964,116.211,109.865
2006 Q3,163.649,307.149,123.808,107.787
2006 Q4,169.314,286.361,269.292,114.824
2007 Q1,165.823,219.885,231.686,124.677
2007 Q2,111.484,301.654,108.543,108.089
2007 Q3,149.065,320.737,122.734,107.738
2007 Q4,146.673,295.727,226.031,119.189
2008 Q1,136.544,222.77,230.109,128.066
2008 Q2,88.879,282.076,107.43,99.471
2008 Q3,121.951,304.979,115.758,111.243
2008 Q4,109.858,303.481,218.864,115.636
2009 Q1,106.123,221.287,210.109,119.158
2009 Q2,65.748,275.761,113.973,105.507
2009 Q3,88.371,311.431,116.517,118.979
2009 Q4,95.214,301.983,223.178,136.094
2010 Q1,109.072,228.162,213.568,127.535
2010 Q2,71.253,281.791,99.497,105.974
2010 Q3,117.876,330.812,108.208,111.615
2010 Q4,99.987,320.897,225.395,127.002
2011 Q1,92.889,239.103,188.56,125.264
2011 Q2,53.397,292.072,110.212,101.814
2011 Q3,96.467,311.994,107.089,101.925
2011 Q4,89.9,329.47,202.24,127.15
2012 Q1,98.18,247.91,194.64,129.52
2012 Q2,59.76,301.88,92.97,105.7
2012 Q3,101.9,319.84,101.69,106.54
