index,Demand,WorkDay,Temperature
0001-04-17,215.11368572,1,24.3
0001-04-18,177.74740577400001,0,18.8
0001-04-19,183.793998112,0,17.3
0001-04-20,178.949754048,0,18.3
0001-04-21,181.331985508,0,18.1
0001-04-22,219.845587538,1,17.6
0001-04-23,218.903697038,1,19.2
0001-04-24,217.970766998,1,18.3
0001-04-25,189.681557562,0,20.5
0001-04-26,189.352187122,0,19.2
0001-04-27,186.17611612,0,17.2
0001-04-28,222.725282768,1,21.3
0001-04-29,226.893987516,1,22.3
0001-04-30,227.838250562,1,17.6
0001-05-01,234.15135243,1,15.6
0001-05-02,234.875479598,1,13.9
0001-05-03,205.593756248,0,17
0001-05-04,203.667041488,0,13.7
0001-05-05,237.88574823,1,16.4
0001-05-06,240.61531435,1,16
0001-05-07,240.363389046,1,16.2
0001-05-08,241.350194426,1,18.4
0001-05-09,236.749702332,1,18.3
0001-05-10,206.34550193,0,16.3
0001-05-11,192.715953152,0,19.7
0001-05-12,229.354390942,1,19.9
0001-05-13,230.016404656,1,20.1
0001-05-14,224.46371096,1,20.2
0001-05-15,216.959205084,1,22.4
0001-05-16,212.630536434,1,22.8
0001-05-17,188.999065818,0,20
0001-05-18,181.507468084,0,21.4
0001-05-19,217.062319264,1,22.8
0001-05-20,224.377063876,1,21.6
0001-05-21,221.94096546,1,23.1
0001-05-22,222.489926686,1,20.9
0001-05-23,221.565872944,1,20.3
0001-05-24,195.66685867,0,17.1
0001-05-25,190.31111951,0,20.2
0001-05-26,226.05098972599998,1,20.8
0001-05-27,226.917460584,1,21.7
0001-05-28,230.292681426,1,18
0001-05-29,234.660413654,1,15.8
0001-05-30,231.84855445,1,17.7
0001-05-31,201.038256576,0,18.4
0001-06-01,199.712859758,0,14.9
0001-06-02,232.58764709,1,16.4
0001-06-03,235.011377108,1,16.4
0001-06-04,230.997025364,1,18.1
0001-06-05,232.087479466,1,16.7
0001-06-06,234.6715011,1,15.4
0001-06-07,202.432333296,0,16.8
0001-06-08,196.719661858,0,14.9
0001-06-09,206.504624442,0,15.4
0001-06-10,235.778186192,1,18.3
0001-06-11,241.099380104,1,16.2
0001-06-12,243.616722524,1,16.2
0001-06-13,237.212577078,1,16.5
0001-06-14,212.136561988,0,15.2
0001-06-15,203.35819459,0,16
0001-06-16,241.320649452,1,17
0001-06-17,244.756767862,1,15.8
0001-06-18,244.58834475,1,14.2
0001-06-19,252.897449834,1,12.2
0001-06-20,239.69476055,1,15.1
0001-06-21,211.049436444,0,15
0001-06-22,205.688831308,0,15.4
0001-06-23,245.357649132,1,14.4
0001-06-24,261.774488502,1,14.3
0001-06-25,248.247620102,1,15.7
0001-06-26,243.389594624,1,15.6
0001-06-27,241.59153925,1,14.5
0001-06-28,218.874063062,0,12.7
0001-06-29,220.295310302,0,11
0001-06-30,255.00559694,1,13.1
0001-07-01,254.810112552,1,13.1
0001-07-02,245.086450906,1,16.6
0001-07-03,247.866872026,1,12.4
0001-07-04,249.05204299599998,1,12.4
0001-07-05,218.406723026,0,15.2
0001-07-06,212.914845934,0,13.9
0001-07-07,241.260002962,1,15.7
0001-07-08,242.972463762,1,14.3
0001-07-09,257.599072426,1,13.3
0001-07-10,257.98055023,1,14.7
0001-07-11,247.654738106,1,14.4
0001-07-12,227.028991406,0,11.1
0001-07-13,220.939721336,0,14.9
0001-07-14,258.828692886,1,13.1
0001-07-15,264.18271463,1,12.9
0001-07-16,253.523189944,1,14.6
0001-07-17,259.805011266,1,12.1
0001-07-18,256.235468698,1,13.8
0001-07-19,223.482490216,0,13.2
0001-07-20,215.77484077,0,13.2
0001-07-21,258.827803342,1,12.9
0001-07-22,268.984564334,1,12.2
0001-07-23,267.235454746,1,13.4
0001-07-24,269.354395358,1,14.9
0001-07-25,253.27478474,1,15.9
0001-07-26,223.156768042,0,14.9
0001-07-27,211.21604189800001,0,16.8
0001-07-28,242.072527,1,16.7
0001-07-29,246.404601926,1,16.5
0001-07-30,237.884147744,1,18.9
0001-07-31,239.61865251,1,19.3
0001-08-01,263.314798322,1,9.8
0001-08-02,227.57694229,0,13.4
0001-08-03,221.635011384,0,14.2
0001-08-04,256.61974377,1,15.2
0001-08-05,250.481639172,1,16.5
0001-08-06,246.815479278,1,15.9
0001-08-07,252.00979398,1,13.6
0001-08-08,243.56900637,1,15.9
0001-08-09,217.18736036,0,14.6
0001-08-10,212.913591254,0,13.6
0001-08-11,261.058640828,1,12.7
0001-08-12,262.47509844,1,12.7
0001-08-13,253.51555816799998,1,14.5
0001-08-14,249.853049548,1,14.8
0001-08-15,244.954895408,1,16.9
0001-08-16,221.146268684,0,13.3
0001-08-17,210.597724776,0,15.7
0001-08-18,250.250471944,1,13.6
0001-08-19,248.265012146,1,13.3
0001-08-20,247.303441168,1,13.3
0001-08-21,242.79371562400001,1,17.4
0001-08-22,231.165211644,1,20.6
0001-08-23,202.580009638,0,19.9
0001-08-24,200.860669396,0,16.3
0001-08-25,239.126760428,1,16.1
0001-08-26,236.93225352,1,18.7
0001-08-27,233.073962462,1,19.5
0001-08-28,233.122114494,1,20
0001-08-29,233.82076382,1,15
0001-08-30,193.010548572,0,21
0001-08-31,189.32914646,0,21
0001-09-01,236.269643916,1,17.8
0001-09-02,238.223979566,1,16.1
0001-09-03,241.451697342,1,14.8
0001-09-04,241.705381812,1,15.9
0001-09-05,233.516562276,1,16.7
0001-09-06,198.104970102,0,18.9
0001-09-07,186.010421868,0,20.7
0001-09-08,218.227625498,1,20.8
0001-09-09,222.727432448,1,20.7
0001-09-10,222.021291692,1,19.1
0001-09-11,226.73725464999998,1,17.1
0001-09-12,231.368291744,1,15.9
0001-09-13,196.583377262,0,18.5
0001-09-14,185.043838964,0,20.1
0001-09-15,225.464064872,1,18
0001-09-16,235.698203312,1,14.8
0001-09-17,236.132883132,1,16.2
0001-09-18,241.150931614,1,13.7
0001-09-19,230.364015644,1,15.5
0001-09-20,199.898901276,0,16.8
0001-09-21,187.057023898,0,17.2
0001-09-22,217.468430896,1,23
0001-09-23,215.156355962,1,25.3
0001-09-24,215.46607728,1,23.5
0001-09-25,217.797838828,1,17
0001-09-26,214.799597462,1,19.3
0001-09-27,184.72685141,0,23.3
0001-09-28,177.315894968,0,27.9
0001-09-29,207.730453672,1,22.9
0001-09-30,218.174634644,1,23.8
0001-10-01,224.694193116,1,15.9
0001-10-02,224.90238728399999,1,17.4
0001-10-03,212.365593856,1,18.1
0001-10-04,183.74868257400001,0,26.2
0001-10-05,173.583948884,0,19.2
0001-10-06,221.161395562,1,25
0001-10-07,216.720937392,1,17.7
0001-10-08,221.225142232,1,18.7
0001-10-09,217.726724034,1,23.1
0001-10-10,213.9396859,1,24.9
0001-10-11,186.21909401,0,21.2
0001-10-12,181.445632594,0,27.5
0001-10-13,222.122176916,1,15.5
0001-10-14,228.70363741,1,16.9
0001-10-15,225.683273886,1,17.1
0001-10-16,224.579852372,1,16.7
0001-10-17,214.55514634600002,1,18.1
0001-10-18,191.73906361,0,24.2
0001-10-19,183.938925838,0,28.8
0001-10-20,213.214673408,1,20.6
0001-10-21,222.90960824799998,1,28.2
0001-10-22,233.001612532,1,31.1
0001-10-23,224.634842454,1,22.7
0001-10-24,227.945416738,1,30.4
0001-10-25,193.219834956,0,19.8
0001-10-26,182.96065429,0,24.5
0001-10-27,212.938331098,1,22.5
0001-10-28,220.959579176,1,19.7
0001-10-29,218.727451384,1,22.5
0001-10-30,218.745918194,1,21.8
0001-10-31,226.761522642,1,32.7
0001-11-01,187.83642766,0,20.3
0001-11-02,186.301853994,0,16.6
0001-11-03,200.563410818,1,23.3
0001-11-04,186.938436556,0,28.9
0001-11-05,206.637651804,1,17.8
0001-11-06,211.98566052,1,23.5
0001-11-07,227.213164292,1,32.8
0001-11-08,205.428282246,0,34.6
0001-11-09,176.059747074,0,19.4
0001-11-10,211.92385876,1,20.2
0001-11-11,215.32009558000001,1,18.8
0001-11-12,222.263459936,1,24.3
0001-11-13,239.606633534,1,30.6
0001-11-14,223.682012828,1,27.7
0001-11-15,189.563654246,0,18
0001-11-16,182.01313893,0,18.1
0001-11-17,208.354625974,1,20.1
0001-11-18,211.810515936,1,20.9
0001-11-19,217.470160668,1,29.6
0001-11-20,228.777412488,1,28.1
0001-11-21,215.288976858,1,23
0001-11-22,196.05920257399998,0,30.8
0001-11-23,187.25928332,0,25
0001-11-24,222.551242116,1,19.6
0001-11-25,213.939724822,1,21.8
0001-11-26,218.065623676,1,18.7
0001-11-27,214.940029368,1,19.4
0001-11-28,212.501729262,1,20.5
0001-11-29,193.78475622,0,24.3
0001-11-30,213.238264002,0,34.1
0001-12-01,242.498274678,1,29
0001-12-02,232.734645642,1,26
0001-12-03,228.061684822,1,23.5
0001-12-04,235.996219864,1,26.4
0001-12-05,224.09234761,1,21.2
0001-12-06,192.155474594,0,22.5
0001-12-07,185.84369543600002,0,17.7
0001-12-08,216.096648906,1,21.2
0001-12-09,217.011085956,1,20.8
0001-12-10,219.859502272,1,21.1
0001-12-11,215.758019682,1,21.4
0001-12-12,219.162764972,1,27.4
0001-12-13,209.452023786,0,31.2
0001-12-14,196.849619224,0,25.9
0001-12-15,228.249638966,1,23.4
0001-12-16,231.096718844,1,32.1
0001-12-17,214.1461543,1,22.3
0001-12-18,216.358081376,1,24
0001-12-19,206.028620072,1,19.9
0001-12-20,189.045337286,0,23
0001-12-21,204.03977797,0,33.3
0001-12-22,230.44480843,1,24.7
0001-12-23,219.498078628,1,26.7
0001-12-24,192.94256159,1,22.2
0001-12-25,166.698403366,0,23.4
0001-12-26,166.856708026,0,20.1
0001-12-27,173.727990102,0,22.2
0001-12-28,188.512817316,0,31.2
0001-12-29,191.273009036,1,26.2
0001-12-30,186.240144172,1,24.4
0001-12-31,186.370181072,1,25.5
